COLLISION_ID,CRASH_DATETIME,YEAR,MONTH,HOUR,DAY_OF_WEEK,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING_FACTOR_1,VEHICLE_TYPE,VEHICLE_MAKE,VEHICLE_YEAR,DRIVER_SEX,POINT_OF_IMPACT,TRAVEL_DIRECTION
4707366,2024-03-05 15:10:00,2024,3,15,Tuesday,Bronx,10454,40.810726,-73.92465,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Bus,Ic Corp,2009,F,Right Rear Quarter Panel,West
4707366,2024-03-05 15:10:00,2024,3,15,Tuesday,Bronx,10454,40.810726,-73.92465,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Sedan,Hyun -Car/Suv,2013,Unknown,Right Rear Quarter Panel,South
4707754,2024-03-05 09:02:00,2024,3,9,Tuesday,Bronx,10473,40.822086,-73.851906,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Tractor Truck Diesel,Mack-Truck/Bus,1991,M,Right Rear Quarter Panel,West
4707754,2024-03-05 09:02:00,2024,3,9,Tuesday,Bronx,10473,40.822086,-73.851906,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Jeep -Car/Suv,2021,Unknown,Left Rear Quarter Panel,West
4707475,2024-03-05 19:00:00,2024,3,19,Tuesday,Manhattan,10281,40.711567,-74.01579,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Bike,Unknown,0,M,Left Front Bumper,East
4707518,2024-03-05 18:15:00,2024,3,18,Tuesday,Queens,11434,40.684277,-73.78302,1,0,1,0,0,0,0,0,Failure To Yield Right-Of-Way,Failure To Yield Right-Of-Way,Station Wagon/Sport Utility Vehicle,Toyt -Car/Suv,2023,F,Center Front End,South
4707806,2024-03-04 19:00:00,2024,3,19,Monday,Unknown,0,40.8166,-73.942764,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,Ambulance,Ford,2023,M,Right Rear Quarter Panel,South
4707598,2024-03-05 08:30:00,2024,3,8,Tuesday,Unknown,0,40.698116,-73.97754,1,0,0,0,1,0,0,0,Unspecified,Unspecified,Sedan,Infi -Car/Suv,2017,M,Center Front End,Southwest
4707773,2024-03-05 11:00:00,2024,3,11,Tuesday,Queens,11423,40.717274,-73.76639,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unknown,Unknown,0,Unknown,Unknown,Unknown
4707773,2024-03-05 11:00:00,2024,3,11,Tuesday,Queens,11423,40.717274,-73.76639,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Sedan,Niss -Car/Suv,2024,Unknown,Center Front End,South
4707287,2024-03-05 07:34:00,2024,3,7,Tuesday,Bronx,10462,40.8478,-73.86513,1,0,0,0,0,0,1,0,Pavement Slippery,Pavement Slippery,Sedan,Hond -Car/Suv,2003,F,Right Front Quarter Panel,West
4707355,2024-03-05 16:50:00,2024,3,16,Tuesday,Unknown,0,40.58808,-74.16607,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Toyt -Car/Suv,0,Unknown,Right Front Bumper,North
4707592,2024-03-05 08:11:00,2024,3,8,Tuesday,Unknown,0,40.869118,-73.83048,1,0,0,0,0,0,1,0,Driver Inexperience,Driver Inexperience,Sedan,Niss -Car/Suv,2019,M,Right Rear Bumper,North
4707885,2024-03-02 10:30:00,2024,3,10,Saturday,Unknown,0,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unknown,Unknown,0,Unknown,Unknown,Unknown
4707885,2024-03-02 10:30:00,2024,3,10,Saturday,Unknown,0,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Sedan,Hond -Car/Suv,2019,M,Right Side Doors,Unknown
4707373,2024-03-05 07:30:00,2024,3,7,Tuesday,Queens,11432,40.712284,-73.78536,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Sedan,Lexs -Car/Suv,2021,M,Left Front Quarter Panel,North
